customer_id,customer_name,email,transaction_id,purchase_date,total_amount,product_id,product_name,price
1,Customer_1,customer1@example.com,1,2023-06-01,147.8,1,Product_1,39.88
2,Customer_2,customer2@example.com,2,2023-04-28,105.25,20,Product_20,46.68
3,Customer_3,customer3@example.com,3,2023-04-08,191.66,9,Product_9,19.64
4,Customer_4,customer4@example.com,4,2023-10-20,132.36,8,Product_8,47.88
5,Customer_5,customer5@example.com,5,2023-06-19,90.53,14,Product_14,5.63
6,Customer_6,customer6@example.com,6,2023-05-24,125.21,18,Product_18,29.01
7,Customer_7,customer7@example.com,7,2023-07-25,13.65,1,Product_1,18.71
8,Customer_8,customer8@example.com,8,2023-09-13,67.3,12,Product_12,44.73
9,Customer_9,customer9@example.com,9,2023-11-02,135.43,5,Product_5,16.28
10,Customer_10,customer10@example.com,10,2023-07-08,65.11,1,Product_1,35.48
11,Customer_11,customer11@example.com,11,2023-08-15,127.42,11,Product_11,41.47
12,Customer_12,customer12@example.com,12,2023-09-18,91.47,15,Product_15,24.45
13,Customer_13,customer13@example.com,13,2023-06-26,35.74,19,Product_19,38.85
14,Customer_14,customer14@example.com,14,2023-09-10,66.67,5,Product_5,42.33
15,Customer_15,customer15@example.com,15,2023-05-20,118.29,4,Product_4,22.06
16,Customer_16,customer16@example.com,16,2023-01-20,122.27,20,Product_20,9.34
17,Customer_17,customer17@example.com,17,2023-06-16,119.12,8,Product_8,16.53
18,Customer_18,customer18@example.com,18,2023-01-19,134.11,9,Product_9,31.64
19,Customer_19,customer19@example.com,19,2023-04-25,133.9,14,Product_14,26.44
20,Customer_20,customer20@example.com,20,2023-02-20,91.97,6,Product_6,26.96
21,Customer_21,customer21@example.com,21,2023-04-20,180.34,1,Product_1,25.63
22,Customer_22,customer22@example.com,22,2023-08-01,79.84,9,Product_9,28.61
23,Customer_23,customer23@example.com,23,2023-02-10,92.81,16,Product_16,24.89
24,Customer_24,customer24@example.com,24,2023-10-01,179.47,16,Product_16,43.37
25,Customer_25,customer25@example.com,25,2023-11-21,163.18,12,Product_12,24.5
26,Customer_26,customer26@example.com,26,2023-08-04,143.74,5,Product_5,42.21
27,Customer_27,customer27@example.com,27,2023-12-19,29.04,8,Product_8,27.92
28,Customer_28,customer28@example.com,28,2023-08-03,184.7,14,Product_14,8.89
29,Customer_29,customer29@example.com,29,2023-01-01,145.71,11,Product_11,34.7
30,Customer_30,customer30@example.com,30,2023-05-22,199.78,15,Product_15,14.3
31,Customer_31,customer31@example.com,31,2023-06-07,38.4,18,Product_18,43.13
32,Customer_32,customer32@example.com,32,2023-09-21,174.94,20,Product_20,35.66
33,Customer_33,customer33@example.com,33,2023-02-16,40.87,4,Product_4,13.03
34,Customer_34,customer34@example.com,34,2023-05-10,126.96,10,Product_10,8.14
35,Customer_35,customer35@example.com,35,2023-11-27,33.53,19,Product_19,5.44
36,Customer_36,customer36@example.com,36,2023-09-02,171.12,3,Product_3,45.14
37,Customer_37,customer37@example.com,37,2023-02-08,163.39,20,Product_20,11.01
38,Customer_38,customer38@example.com,38,2023-10-26,118.13,12,Product_12,40.06
39,Customer_39,customer39@example.com,39,2023-04-07,87.36,19,Product_19,46.63
40,Customer_40,customer40@example.com,40,2023-08-12,23.14,14,Product_14,37.18
41,Customer_41,customer41@example.com,41,2023-03-28,142.51,2,Product_2,27.09
42,Customer_42,customer42@example.com,42,2023-01-15,96.17,7,Product_7,26.13
43,Customer_43,customer43@example.com,43,2023-04-22,147.19,11,Product_11,44.72
44,Customer_44,customer44@example.com,44,2023-10-11,174.61,17,Product_17,26.98
45,Customer_45,customer45@example.com,45,2023-05-12,195.35,17,Product_17,23.66
46,Customer_46,customer46@example.com,46,2023-05-07,172.6,4,Product_4,12.84
47,Customer_47,customer47@example.com,47,2023-05-16,12.23,18,Product_18,26.39
48,Customer_48,customer48@example.com,48,2023-05-04,78.4,11,Product_11,40.26
49,Customer_49,customer49@example.com,49,2023-05-21,148.7,10,Product_10,30.04
50,Customer_50,customer50@example.com,50,2023-09-15,42.61,13,Product_13,12.19
51,Customer_51,customer51@example.com,51,2023-05-04,109.0,14,Product_14,11.47
52,Customer_52,customer52@example.com,52,2023-11-24,20.32,7,Product_7,34.23
53,Customer_53,customer53@example.com,53,2023-06-22,48.0,7,Product_7,29.27
54,Customer_54,customer54@example.com,54,2023-01-18,13.52,8,Product_8,19.66
55,Customer_55,customer55@example.com,55,2023-06-10,160.8,9,Product_9,11.62
56,Customer_56,customer56@example.com,56,2023-04-01,52.55,14,Product_14,12.19
57,Customer_57,customer57@example.com,57,2023-06-01,75.62,8,Product_8,10.82
58,Customer_58,customer58@example.com,58,2023-02-19,186.34,17,Product_17,31.05
59,Customer_59,customer59@example.com,59,2023-05-03,143.84,16,Product_16,9.15
60,Customer_60,customer60@example.com,60,2023-01-04,16.05,9,Product_9,45.97
61,Customer_61,customer61@example.com,61,2023-03-11,41.29,4,Product_4,8.73
62,Customer_62,customer62@example.com,62,2023-01-08,128.08,7,Product_7,41.02
63,Customer_63,customer63@example.com,63,2023-06-10,119.67,18,Product_18,44.47
64,Customer_64,customer64@example.com,64,2023-01-11,55.2,8,Product_8,9.21
65,Customer_65,customer65@example.com,65,2023-03-12,187.5,3,Product_3,24.18
66,Customer_66,customer66@example.com,66,2023-11-24,126.65,17,Product_17,26.29
67,Customer_67,customer67@example.com,67,2023-12-03,111.77,19,Product_19,31.11
68,Customer_68,customer68@example.com,68,2023-10-03,122.08,14,Product_14,37.23
69,Customer_69,customer69@example.com,69,2023-04-28,148.72,5,Product_5,6.22
70,Customer_70,customer70@example.com,70,2023-04-19,69.27,5,Product_5,37.91
71,Customer_71,customer71@example.com,71,2023-04-21,85.66,13,Product_13,39.51
72,Customer_72,customer72@example.com,72,2023-02-19,49.87,18,Product_18,5.44
73,Customer_73,customer73@example.com,73,2023-12-15,45.38,2,Product_2,18.87
74,Customer_74,customer74@example.com,74,2023-10-27,189.43,6,Product_6,15.48
75,Customer_75,customer75@example.com,75,2023-02-05,150.51,2,Product_2,27.65
76,Customer_76,customer76@example.com,76,2023-11-23,103.19,20,Product_20,47.92
